bbox,full_id,maxspeed,lanes,highway,wkt_geom
13,w167905883,,2,tertiary,"LineString (9.9945231 53.5857163, 9.9951456 53.5869074, 9.9955095 53.5876945, 9.9956119 53.5879113, 9.9957863 53.5884899)"
5,w30992172,50,3,secondary,"LineString (10.0116887 53.4948632, 10.0115095 53.4951263, 10.0111641 53.4956273, 10.011061 53.4957415, 10.0109434 53.4958438, 10.0108133 53.4959249, 10.0106365 53.4960041, 10.0104866 53.4960693, 10.0103187 53.4961252, 10.0100829 53.4961792, 10.0098278 53.4962341)"
12,w44779855,50,4,primary,"LineString (9.9549149 53.5698337, 9.9547046 53.5697324, 9.9546377 53.5696999)"
8,w922264842,50,2,secondary,"LineString (10.1248753 53.5861638, 10.1248787 53.5862893, 10.1248798 53.58633, 10.1248669 53.586411, 10.1248483 53.5864839, 10.1248191 53.5865593, 10.1247186 53.5867266)"
5,w25520037,50,2,secondary,"LineString (10.0272456 53.5038651, 10.0270433 53.5039407, 10.0268035 53.5040303, 10.0264963 53.5041403, 10.0261309 53.5043076, 10.0257452 53.5045152, 10.0252511 53.5048629, 10.0251932 53.5049045, 10.0247245 53.50527, 10.0236418 53.5061576)"
7,w118159010,50,1,trunk_link,"LineString (9.9984489 53.4636899, 9.9985277 53.4637374, 9.9985709 53.4637637)"
0,w394384404,50,3,secondary,"LineString (9.9697393 53.5459942, 9.9695767 53.5460209)"
4,w4351692,50,1,tertiary,"LineString (10.0485585 53.584811, 10.0485694 53.5848351, 10.0485747 53.5848561, 10.0485779 53.5848787, 10.048579 53.5848994, 10.048572 53.5849284, 10.0485618 53.5849507, 10.048537 53.5849761, 10.0484908 53.5850069)"
7,w580124831,50,4,secondary,"LineString (9.9789465 53.4608644, 9.9787807 53.4608795, 9.9786204 53.4608858, 9.9784111 53.4608875)"
0,w1220505572,,1,tertiary,"LineString (9.9485893 53.5511414, 9.9480929 53.5512305, 9.9478932 53.5512653, 9.9477816 53.5512843)"
8,w922264851,50,4,secondary,"LineString (10.1252619 53.5846948, 10.1252166 53.5847846, 10.1250857 53.5850402, 10.1250148 53.585195, 10.1249543 53.5853423)"
4,w340061031,50,,secondary,"LineString (10.0464623 53.5866693, 10.0464271 53.5866826, 10.0463878 53.586691, 10.0463464 53.5866941, 10.0463049 53.5866917)"
4,w53297334,50,2,tertiary,"LineString (10.0541498 53.5915363, 10.0542349 53.5915363, 10.0542927 53.5915421, 10.0543418 53.5915492)"
2,w1116978261,50,1,primary,"LineString (10.0388704 53.5591664, 10.0388568 53.5591246, 10.0388478 53.5590428)"
4,w834336772,50,1,secondary,"LineString (10.0322728 53.5798749, 10.0320756 53.5798985)"
7,w578229462,50,1,secondary,"LineString (9.9887457 53.4573276, 9.9885388 53.4572947)"
7,w10665008,80,2,trunk,"LineString (9.9971425 53.4564182, 9.9966868 53.4558971, 9.9964175 53.4556323, 9.9961292 53.4553692, 9.9957573 53.4550694, 9.9955909 53.4549438, 9.9952377 53.4546974)"
8,w922280178,50,3,tertiary,"LineString (10.1240022 53.5887087, 10.1240031 53.588524, 10.1240329 53.588458, 10.1241379 53.5882255, 10.1241644 53.5881656, 10.1242027 53.5880794)"
12,w1185539827,50,2,primary,"LineString (9.9599115 53.5754498, 9.9598829 53.575426, 9.9597777 53.5753289, 9.9597204 53.5752646)"
0,w25635533,50,1,tertiary,"LineString (9.9534989 53.5512054, 9.9532957 53.5511469, 9.9529814 53.5510601, 9.9528692 53.5510353, 9.9522285 53.550929, 9.9517383 53.550888, 9.9514795 53.5508715, 9.9513899 53.5508658, 9.9511381 53.5508598, 9.951079 53.5508591, 9.9506551 53.5508771)"
7,w124815531,50,2,trunk_link,"LineString (9.9968942 53.4568448, 9.9968266 53.4567534)"
4,w608715873,50,2,secondary,"LineString (10.0335545 53.5843541, 10.0334432 53.5837102, 10.0334318 53.5836444)"
13,w951751350,,1,tertiary,"LineString (9.9940654 53.5797581, 9.9940457 53.5797684, 9.9940237 53.5797766, 9.9939997 53.5797828, 9.9939744 53.5797867)"
4,w217798295,50,,secondary,"LineString (10.0463679 53.5864689, 10.0463957 53.5864723, 10.0464223 53.5864781, 10.0464472 53.5864862, 10.0464698 53.5864964, 10.0464896 53.5865085)"
2,w27837751,50,2,primary,"LineString (10.0662729 53.5596321, 10.0669522 53.5595486)"
14,w640884662,70,2,trunk,"LineString (10.1347559 53.5267471, 10.1356491 53.5264124)"
12,w952072729,50,,tertiary,"LineString (9.9634253 53.5792693, 9.9636201 53.5792656)"
12,w598167939,50,2,tertiary,"LineString (9.9799757 53.5824114, 9.9799836 53.5824335)"
9,w532673285,50,3,primary,"LineString (9.9083729 53.6210445, 9.9082897 53.6209274)"
10,w593103515,50,3,secondary,"LineString (10.2007893 53.5123458, 10.2010394 53.5123653)"
4,w59637992,50,,tertiary,"LineString (10.0494548 53.5792399, 10.0494704 53.5792969)"
12,w142762606,50,4,primary,"LineString (9.967142 53.5829641, 9.9670256 53.5828079, 9.9668845 53.5826242)"
13,w710544677,50,2,tertiary,"LineString (9.9968779 53.5786633, 9.9967161 53.5787426)"
0,w1228086853,50,1,secondary,"LineString (9.9553796 53.5496665, 9.9553459 53.5495511)"
4,w979401348,30,2,secondary,"LineString (10.061672 53.5810345, 10.0615682 53.5810151, 10.0613498 53.5809741)"
4,w47706629,50,5,secondary,"LineString (10.0447892 53.588674, 10.0442529 53.5887509)"
4,w188148590,50,1,secondary,"LineString (10.0461967 53.5875878, 10.0461703 53.5875793, 10.0461464 53.5875685, 10.0461255 53.5875557, 10.0461082 53.5875411, 10.0460968 53.5875278, 10.0460884 53.5875138, 10.046083 53.5874992)"
7,w118159005,50,2,primary,"LineString (10.0003314 53.4633489, 9.9998141 53.4634416, 9.998975 53.4635744, 9.9989132 53.4635852, 9.9986503 53.4636419)"
1,w854509202,50,2,tertiary,"LineString (10.1502889 53.6283518, 10.1503464 53.6283491, 10.1504428 53.6283446, 10.1505858 53.628338, 10.1506614 53.6283345, 10.1508312 53.6283174, 10.1509385 53.6283044, 10.1510216 53.6282944, 10.1511584 53.6282685, 10.1514726 53.6282201, 10.1524412 53.6280539, 10.1524854 53.6280464, 10.1525962 53.6280275, 10.1527502 53.6280013, 10.1530349 53.6279527, 10.1534943 53.6278744, 10.153707 53.6278392, 10.1551962 53.6275709, 10.1552345 53.6275639, 10.15532 53.6275484, 10.155737 53.6274727, 10.1559741 53.627429, 10.1563567 53.6273225, 10.1565721 53.6272516, 10.1568886 53.6271099, 10.1576989 53.6267238, 10.1581441 53.6265117, 10.1583857 53.6263966, 10.1586526 53.626269, 10.1592541 53.6259832, 10.1596651 53.6257879, 10.159804 53.6257234)"
4,w701056609,50,4,primary,"LineString (10.0571718 53.592275, 10.0572024 53.5922963)"
4,w137131511,50,2,primary,"LineString (10.0413549 53.579833, 10.0414506 53.5798916, 10.0417077 53.5801033, 10.0417964 53.5801763, 10.04189 53.5802314, 10.0420198 53.5803384)"
8,w1133166008,50,,primary,"LineString (10.1165331 53.5838299, 10.1169426 53.5841476)"
4,w1092919321,50,2,tertiary,"LineString (10.0444089 53.5914788, 10.0442613 53.5914786, 10.0441231 53.5914784, 10.0440109 53.5914782)"
10,w686950658,50,1,secondary,"LineString (10.2095062 53.5130138, 10.2093452 53.5129976, 10.2092612 53.5129873, 10.2089906 53.5129543, 10.207895 53.5128521)"
2,w651610088,30,2,tertiary,"LineString (10.054215 53.5648384, 10.0536516 53.5647102)"
12,w3997588,50,2,primary,"LineString (9.9767395 53.5781, 9.9766617 53.5781513, 9.9766289 53.5781751)"
4,w197426744,50,1,secondary,"LineString (10.046083 53.5874992, 10.0460808 53.5874808, 10.0460836 53.5874624, 10.0460913 53.5874445, 10.0461036 53.5874275, 10.0461204 53.587412, 10.0461411 53.5873981, 10.0461652 53.5873865, 10.0461921 53.5873772, 10.0462212 53.5873706)"
4,w147278991,30,1,tertiary,"LineString (10.0425157 53.5853752, 10.0426193 53.5854222, 10.0427042 53.5854731, 10.0429665 53.5856369, 10.0430841 53.5857062, 10.0434386 53.5859179, 10.0442983 53.5864126, 10.0444211 53.5864867, 10.0445712 53.5865782, 10.0446015 53.5866029, 10.0446229 53.5866276, 10.0446562 53.5866729, 10.0446687 53.5866899, 10.0446957 53.5867505)"
