bbox,full_id,direction,longitude,latitude
13,n36745324,,9.9820682,53.5871806
9,n5131680122,forward,9.9072587,53.6179581
7,n6461327653,forward,9.9878334,53.4520639
8,n2759306780,,10.1098848,53.5932857
12,n3816068499,forward,9.9629183,53.5694357
4,n5787398299,backward,10.0339873,53.5845235
4,n2679077149,,10.0526668,53.5882038
0,n5814325053,,9.9475777,53.5461293
4,n8423558254,forward,10.0418612,53.588314
5,n1607456761,forward,9.9992112,53.498827
7,n15839211,forward,9.9875928,53.4517508
9,n1337106621,forward,9.9048749,53.608891
4,n6422763462,,10.0471829,53.5843939
5,n8443555686,backward,10.0041249,53.5061209
12,n301772969,,9.9714206,53.5754133
5,n8497764483,forward,10.0014702,53.5004147
7,n8498064151,forward,9.9890057,53.4578242
0,n8835172569,forward,9.9629634,53.5464572
13,n9195273521,forward,9.9863858,53.5787912
0,n6566612774,forward,9.965052,53.549816
1,n25587197,forward,10.1420062,53.6286301
4,n8423558252,forward,10.0419126,53.5881965
4,n3039342889,forward,10.0414323,53.5872871
4,n4973692667,,10.0336008,53.5846733
2,n5682398299,,10.0527268,53.5609177
4,n5720613311,backward,10.0500301,53.5938387
11,n6876207725,forward,10.1740748,53.6147871
12,n8493727534,forward,9.9738127,53.5690815
0,n2398431572,,9.9486923,53.5490451
12,n5077433454,,9.9704254,53.5676789
13,n8223839475,backward,9.9861408,53.5728475
8,n627291197,,10.1007617,53.5847721
2,n6469292836,forward,10.0463071,53.5581457
12,n6222479804,forward,9.9641389,53.5695329
1,n454208820,,10.1458759,53.624283
1,n790395546,,10.1487857,53.6247055
7,n1366830171,forward,9.9892706,53.4575196
8,n8561852593,forward,10.1251586,53.5862562
4,n2682603757,,10.0411662,53.5869824
0,n5814422368,,9.9555305,53.5520179
13,n5943781960,,9.9913697,53.5882947
0,n6564661046,forward,9.9621513,53.5494509
8,n8561944165,forward,10.1241379,53.5882255
4,n8423547108,backward,10.041859,53.5845389
2,n3201494181,,10.0670166,53.5535804
4,n7788347263,,10.0320824,53.5800779
8,n2759227034,,10.1089684,53.5927803
2,n6873208747,forward,10.0411473,53.5526521
7,n7292417011,,9.9930363,53.4577682
4,n7878438527,,10.0323298,53.5931462
4,n2399904536,forward,10.0486289,53.578691
12,n9006289861,forward,9.9715919,53.5818237
0,n8462808356,forward,9.9702697,53.550724
4,n6367475803,forward,10.0534786,53.5845864
4,n6080155439,backward,10.0416987,53.5826874
0,n6815443672,forward,9.9558054,53.549801
4,n8849336563,forward,10.0594894,53.5937984
12,n8988337731,forward,9.9638789,53.5697534
7,n6300855769,forward,9.9844349,53.4572046
8,n8561944148,forward,10.1240612,53.5878419
12,n244400626,,9.9705845,53.5759251
0,n6611847090,forward,9.9599735,53.5495462
0,n2546948736,,9.9646195,53.5551146
8,n1651225629,,10.0987427,53.5891066
7,n7292417009,,9.9924485,53.4575021
7,n8498064135,forward,9.9891016,53.4581332
12,n9006289859,backward,9.9717739,53.5820905
2,n959166585,,10.057616,53.5644567
12,n8628164754,forward,9.9646124,53.5677402
12,n8812271331,backward,9.9654513,53.5790844
5,n2132571524,backward,9.9999421,53.4992437
0,n6564661048,forward,9.9623811,53.5496693
0,n8835172595,forward,9.9654647,53.5464975
1,n130032757,forward,10.1419786,53.6284093
12,n5077434226,,9.9696947,53.5676553
4,n6242083547,,10.0609787,53.580733
1,n58663862,both,10.1359609,53.6354397
4,n6007422952,forward,10.055691,53.5824532
0,n2398431559,,9.9492845,53.5488599
4,n10009310674,forward,10.0436678,53.5913888
12,n5060133780,backward,9.9564063,53.582927
2,n9146502779,forward,10.057122,53.5548852
13,n8223839480,forward,9.9884987,53.5776428
12,n9195273545,forward,9.9821067,53.5724933
12,n3950848066,,9.9774482,53.5744026
12,n467011282,forward,9.9711184,53.5712733
