bbox,full_id,direction,longitude,latitude
9,n4743833440,,9.9079146,53.617736
5,n6633318299,forward,10.0090051,53.4964575
4,n2682603689,forward,10.0465661,53.5863973
9,n2324216671,,9.9027393,53.6213307
1,n685906351,backward,10.1557791,53.6275685
6,n8869925418,backward,10.3010865,53.4422544
0,n11388201423,forward,9.9672666,53.5498579
13,n7964473492,,9.9748089,53.5893856
10,n9695648387,forward,10.2106653,53.5037828
2,n10761667281,forward,10.0425602,53.5653978
13,n3890403343,,9.9835434,53.5864093
4,n2682603714,forward,10.0463762,53.586761
2,n10761667280,forward,10.0423867,53.5654757
13,n7964473490,forward,9.974479,53.5896403
9,n7176907391,,9.904426,53.6207653
0,n1509719281,backward,9.94465,53.5493312
4,n2682603810,forward,10.0466031,53.5874833
5,n10862287673,backward,10.0204691,53.4940702
10,n9695723187,forward,10.210753,53.5039788
0,n9963020299,forward,9.9633198,53.5463797
3,n5133840364,forward,9.8576158,53.5992213
12,n9006289853,backward,9.9641152,53.5782143
13,n4513954594,,9.9758426,53.5888438
2,n10761667279,backward,10.0422658,53.5653739
4,n614848294,forward,10.0460418,53.5865744
4,n2682603814,forward,10.0458935,53.5875088
7,n9366908687,forward,10.0073125,53.4629643
13,n5799694894,,9.9828681,53.5894856
10,n9695648363,forward,10.2103378,53.503877
6,n8869885551,,10.3037967,53.4410211
10,n9695723200,forward,10.2116204,53.5039757
6,n8869993027,backward,10.3097011,53.4422988
9,n5168656633,,9.9077941,53.6204992
13,n9434514938,,9.9790175,53.590186
4,n2682603782,forward,10.0463525,53.5872609
2,n10761667278,backward,10.0424379,53.5652981
13,n7964473491,,9.9748024,53.5896429
9,n1991413290,,9.9072438,53.6178631
6,n8869885594,,10.3035844,53.4407496
4,n2682603704,forward,10.0446687,53.5866899
12,n3950848157,,9.9780775,53.5770589
6,n8869885602,,10.3034428,53.4409466
6,n8869925401,forward,10.3016233,53.4415492
0,n3679329370,,9.9437828,53.5503732
9,n1412129901,,9.9071373,53.6181674
6,n8869885568,,10.3038968,53.440827
13,n7964473489,forward,9.9743888,53.5894491
